path,tracked/untracked,code/evidence/candidate/temp/cache/config,required for reproducibility?,contains secrets?,should commit?,target logical commit,reason
.githooks/post-checkout,untracked,config,no,no,no,N/A,local githooks template
.githooks/post-commit,untracked,config,no,no,no,N/A,local githooks template
.githooks/post-merge,untracked,config,no,no,no,N/A,local githooks template
.githooks/pre-push,untracked,config,no,no,no,N/A,local githooks template
.idea/dataSources.local.xml,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Checkout_at_14_03_2026_19_32_[Changes]/shelved.patch,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Checkout_at_14_03_2026_19_32__Changes_.xml,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Merge_at_14_03_2026_19_30_[Changes]/shelved.patch,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Merge_at_14_03_2026_19_30__Changes_.xml,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Update_at_14_03_2026_19_34_[Changes]/shelved.patch,untracked,cache,no,no,no,N/A,IDE metadata
.idea/shelf/Uncommitted_changes_before_Update_at_14_03_2026_19_34__Changes_.xml,untracked,cache,no,no,no,N/A,IDE metadata
.idea/workspace.xml,untracked,cache,no,no,no,N/A,IDE metadata
P03_REPAIR_MUTATION_LEDGER.csv,untracked,temp,no,no,no,N/A,local/unclassified temp file
P04_REPAIR_MUTATION_SUMMARY.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
P05_UNEXPECTED_MUTATIONS.csv,untracked,temp,no,no,no,N/A,local/unclassified temp file
POST_AUDIT_HARDENING_PROMPT.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
_a0_gather.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_p1_repair_audit.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_p4_runtime_evidence.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
_run_p4_equiv.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_stage1_inventory.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
_stage1_inventory.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_stage1b_check_geoms.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_stage5_repair.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_stage5_repair_report.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
_stage7_acceptance.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_stage7_acceptance_results.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
_stage7_gate_check.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_verify_native.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_verify_repair.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
_write_p4_evidence.py,untracked,code,no,no,no,N/A,local utility/diagnostic script
audit_output.zip,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/00_EXECUTIVE_SUMMARY.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/01_REPOSITORY_IDENTITY.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/02_REQUIREMENT_INVENTORY.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/03_AUDIT_PLAN.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/04_REQUIREMENT_RESULTS.jsonl,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/05_REQUIREMENT_RESULTS.csv,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/06_COVERAGE_REPORT.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/07_BLOCKING_ISSUES.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/08_CONTRADICTIONS.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/09_TEST_QUALITY.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/10_PROFILE_RELEASE_MATRIX.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/11_UNVERIFIED_CLAIMS.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/12_NEXT_ACTIONS.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/EVIDENCE_MANIFEST.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/audit_plan.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/phase6_reviewer_B.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/pipeline_quality_audit.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/raport.md,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/requirement_inventory.csv,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/requirement_inventory.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/requirement_inventory_raw.txt,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-01_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-03_04_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-05_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-06_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-07_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-08_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-09_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-10_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-11_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-12_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-13_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
audit_output/worker_shards/SHARD-14_worker_A.json,untracked,temp,no,no,no,N/A,local/unclassified temp file
campaigns/ingolstadt_cooked_perception_v1/candidate/ingolstadt_fixed_final.xodr,untracked,candidate,yes,no,yes,D2,repaired candidate and map verification reports
