osm_id,classification,c2b_disposition,alignment,length_m,road_id,lane_id,aligned_run_m,mean_eff_dist_m,proof
22715565,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 53256/-2 aligned 12.0 m,156.69,53256,-2,12.0,1.653,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23011316,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 41075/-2 aligned 8.0 m,538.11,41075,-2,8.0,2.371,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23036978,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,239.38,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23036982,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,1071.48,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23036987,FOOTWAY,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45881/-2 aligned 4.0 m,455.65,45881,-2,4.0,3.336,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23037001,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,1054.87,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23037072,FOOTWAY,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,31.13,53889,-2,8.0,2.408,"runs inside existing sidewalk lane 53889/-2 (s=0.0 m, w=2.8 m) for 8.0 m; lane already present - nothing new authored (no duplication)"
23043009,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45869/-2 aligned 12.0 m,43.26,45869,-2,12.0,2.767,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23043061,PATH,ROAD_ADJACENT_SIDEWALK_MATCHED,MATCHED,119.7,44033,-2,66.0,4.344,"runs inside existing sidewalk lane 44033/-2 (s=0.0 m, w=2.8 m) for 66.0 m; lane already present - nothing new authored (no duplication)"
23050120,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,nearest lane 45931/-2 aligned 10.0 m,439.1,45931,-2,10.0,2.743,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
23059857,PATH,STANDALONE_PACKAGE_MESH_NAVMESH,no sidewalk lane within containment,69.95,,,0.0,0.0,no existing sidewalk lane contains this way for the required run; requires PACKAGE_MESH + NAVMESH at packaging (offline-deferred)
